movie_id,Crime,Drama,Comedy,Action,Thriller,Adventure,Science Fiction,Animation,Family,Romance,Mystery,Music,Horror,Fantasy,Documentary,War,Western,History,Foreign,TV Movie,imdb_id,popularity,release_date,vote_average,vote_count,revenue,budget,Cast 1,Cast 2,Production,Month,Year,Error
5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0113101,9.026586,1995-12-09,6.5,539.0,4257354,4000000,1.0,2.0,2,12,1995,1
5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0113101,9.026586,1995-12-09,6.5,539.0,4257354,4000000,1.0,2.0,1,12,1995,1
6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0107286,5.538671,1993-10-15,6.4,79.0,12526677,21000000,1.0,1.0,4,10,1993,1
6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0107286,5.538671,1993-10-15,6.4,79.0,12526677,21000000,1.0,1.0,1,10,1993,1
6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0107286,5.538671,1993-10-15,6.4,79.0,12526677,21000000,1.0,1.0,1,10,1993,1
11,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0076759,42.149696999999996,1977-05-25,8.1,6778.0,775512064,11000000,1.0,1.0,4,5,1977,1
11,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0076759,42.149696999999996,1977-05-25,8.1,6778.0,775512064,11000000,1.0,1.0,1,5,1977,1
12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,tt0266543,25.497794,2003-05-30,7.6,6292.0,969023261,94000000,1.0,1.0,1,5,2003,1
13,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0109830,48.307194,1994-07-06,8.2,8147.0,678151134,55000000,2.0,1.0,4,7,1994,1
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0169547,20.726578,1999-09-15,7.9,3438.0,356296601,15000000,1.0,1.0,1,9,1999,1
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0169547,20.726578,1999-09-15,7.9,3438.0,356296601,15000000,1.0,1.0,1,9,1999,1
15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt0033467,15.811921,1941-04-30,8.0,1244.0,1594107,839727,1.0,1.0,2,4,1941,1
15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,tt0033467,15.811921,1941-04-30,8.0,1244.0,1594107,839727,1.0,1.0,1,4,1941,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,3,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,tt0168629,10.684806,2000-05-17,7.7,392.0,40031879,12800000,1.0,2.0,1,5,2000,1
17,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,tt0411267,5.691508,2006-01-26,5.6,76.0,6580887,3000000,1.0,1.0,1,1,2006,1
17,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,tt0411267,5.691508,2006-01-26,5.6,76.0,6580887,3000000,1.0,1.0,1,1,2006,1
17,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,tt0411267,5.691508,2006-01-26,5.6,76.0,6580887,3000000,1.0,1.0,1,1,2006,1
17,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,tt0411267,5.691508,2006-01-26,5.6,76.0,6580887,3000000,1.0,1.0,1,1,2006,1
18,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0119116,24.30526,1997-05-07,7.3,3962.0,264029966,93000000,2.0,1.0,3,5,1997,1
18,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0119116,24.30526,1997-05-07,7.3,3962.0,264029966,93000000,2.0,1.0,2,5,1997,1
20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0314412,10.310508,2003-03-07,7.2,78.0,9781854,2000000,1.0,1.0,1,3,2003,1
20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,tt0314412,10.310508,2003-03-07,7.2,78.0,9781854,2000000,1.0,1.0,1,3,2003,1
22,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0325980,47.326665000000006,2003-07-09,7.5,7191.0,654264015,140000000,2.0,1.0,2,7,2003,1
22,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tt0325980,47.326665000000006,2003-07-09,7.5,7191.0,654264015,140000000,2.0,1.0,1,7,2003,1
24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0266697,25.261865,2003-10-10,7.7,5091.0,180899045,30000000,1.0,1.0,2,10,2003,1
24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt0266697,25.261865,2003-10-10,7.7,5091.0,180899045,30000000,1.0,1.0,1,10,2003,1
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0418763,9.997032,2005-11-04,6.6,776.0,96889998,72000000,1.0,1.0,4,11,2005,1
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0418763,9.997032,2005-11-04,6.6,776.0,96889998,72000000,1.0,1.0,1,11,2005,1
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0418763,9.997032,2005-11-04,6.6,776.0,96889998,72000000,1.0,1.0,1,11,2005,1
28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tt0078788,13.5963,1979-08-15,8.0,2112.0,91711094,31500000,1.0,1.0,2,8,1979,1
