movie_id,Cast 1,Cast 2
3,1,1
5,1,2
6,1,1
11,1,1
12,1,1
13,2,1
14,1,1
15,1,1
16,1,2
17,1,1
18,2,1
19,1,
20,1,1
22,2,1
24,1,1
25,1,1
26,1,
28,1,1
33,2,2
38,1,1
55,1,
58,2,1
59,1,1
62,1,
63,2,1
64,1,
65,1,1
66,2,2
67,1,
68,1,3
69,1,1
70,2,1
71,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,2,1
80,1,1
81,,1
82,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,2
90,1,1
93,2,1
95,2,1
96,1,1
97,2,1
98,1,1
99,1,1
100,1,1
101,1,1
102,,1
103,3,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,
109,1,1
110,1,1
111,2,1
112,1,
114,1,2
115,2,1
116,1,1
117,1,2
118,2,1
120,1,1
121,1,1
122,1,1
124,1,
127,1,
128,,1
129,,1
132,1,1
133,1,
134,1,1
135,1,
137,1,1
138,1,
139,1,1
140,1,1
141,1,1
142,1,1
143,1,
144,1,1
145,1,1
146,1,1
147,1,
148,1,1
150,1,1
152,1,1
153,1,1
154,1,1
155,1,3
157,1,1
158,1,
159,1,1
161,1,1
162,2,1
163,1,1
164,1,1
165,1,1
166,1,1
167,2,1
168,1,1
169,,1
170,1,1
171,1,1
172,1,1
173,2,2
174,1,1
175,1,1
176,1,1
177,2,2
178,2,1
179,2,1
180,1,1
182,1,1
183,1,
184,1,2
185,1,1
186,1,2
187,1,1
189,1,1
192,2,1
193,1,1
194,1,1
195,1,1
196,1,1
197,2,1
198,1,1
199,1,1
200,1,1
201,1,1
203,2,3
204,1,1
205,1,
206,1,
207,2,1
212,2,1
213,2,1
214,1,1
215,1,1
217,1,1
218,1,1
219,1,1
220,1,1
221,1,1
223,1,1
224,1,
225,,1
226,1,1
227,1,1
228,1,1
229,2,1
231,1,1
232,1,1
233,1,
234,1,1
235,,1
236,1,1
237,2,1
238,1,2
239,1,1
240,2,1
241,1,1
242,2,1
243,2,1
244,1,1
245,1,1
246,1,1
247,1,1
248,2,2
249,1,1
250,,1
251,1,1
252,1,
253,1,1
254,1,1
255,1,
256,1,1
257,,1
258,1,
259,1,1
260,1,1
261,1,2
262,3,1
265,1,1
266,1,1
267,,1
268,1,1
269,1,1
272,1,3
273,1,
274,1,2
275,1,1
276,1,1
277,1,1
278,1,2
279,1,1
280,1,1
281,1,1
284,2,1
285,2,1
287,1,2
288,2,1
289,2,1
290,1,1
292,1,
293,1,1
294,1,
296,1,1
297,1,2
298,1,1
299,1,1
300,1,1
301,3,1
302,1,1
303,2,1
306,1,1
307,1,1
308,1,1
309,1,
310,1,1
311,3,1
312,1,
313,1,1
314,1,1
316,1,1
317,1,1
318,2,1
319,1,1
320,2,2
321,1,
322,1,1
326,2,1
327,1,1
329,1,1
330,1,1
331,1,1
332,1,1
333,,1
334,1,1
335,2,1
336,1,1
337,1,
338,1,
339,1,1
340,1,
342,1,1
343,1,1
345,1,2
346,1,1
348,1,1
349,1,1
350,2,1
363,,1
364,1,1
377,1,
378,2,1
379,1,1
380,1,1
381,2,1
387,1,
388,2,1
389,2,1
390,1,1
391,2,
392,1,1
393,1,1
395,1,1
396,1,1
397,1,1
398,1,
400,1,1
401,1,1
402,1,1
403,2,1
404,,1
405,2,1
406,1,
409,1,1
410,,1
411,1,
414,1,1
415,1,1
421,1,1
422,2,1
423,1,1
424,2,1
425,1,
426,2,1
427,1,
428,1,
429,1,2
430,2,1
431,1,
433,1,1
434,1,
435,2,1
436,1,
439,2,1
441,1,1
445,1,1
451,2,1
452,1,1
453,1,1
454,1,1
455,,1
457,1,1
458,1,1
459,1,1
460,1,1
462,1,1
464,1,
466,1,2
467,1,1
468,1,2
470,1,1
471,1,1
475,1,1
476,1,1
479,2,1
480,1,
481,1,
482,1,1
483,2,1
488,2,1
489,2,1
490,1,1
492,2,1
493,1,1
494,1,1
496,1,
497,2,1
500,2,1
502,2,1
503,2,1
504,1,1
505,1,1
506,1,2
507,1,1
508,1,1
509,1,1
510,1,1
511,1,1
512,1,1
513,1,1
521,1,1
522,2,1
523,1,1
524,3,1
525,1,1
526,1,1
527,,1
530,1,
531,1,
532,1,
533,1,1
534,1,1
535,1,1
537,1,1
539,1,1
540,,1
541,1,1
542,1,1
544,1,1
546,,1
547,1,1
548,1,1
549,1,1
550,1,1
551,2,1
552,,1
553,2,1
557,1,1
558,1,1
559,1,1
560,1,1
561,2,1
562,2,1
563,1,1
564,1,1
565,1,1
567,2,1
568,2,1
571,1,1
572,1,
573,1,
574,2,1
575,1,
576,1,1
577,2,1
578,1,1
579,1,
580,,1
581,1,
582,1,1
583,1,1
584,1,1
585,1,1
586,1,3
587,2,1
588,1,1
590,2,1
591,2,1
592,2,1
593,1,
594,2,1
595,2,
596,2,
597,1,1
599,1,1
600,1,1
601,1,1
602,1,1
603,2,1
604,2,1
605,2,1
606,2,1
607,1,1
608,1,1
609,1,1
612,1,1
613,1,1
614,1,1
615,1,1
616,1,1
617,1,1
618,1,1
619,1,1
620,1,1
621,2,1
622,2,1
623,1,1
624,1,1
625,1,
627,2,1
628,1,1
629,1,1
630,1,1
631,1,1
632,1,
633,1,1
634,1,1
635,1,3
636,1,1
637,1,1
638,1,1
639,1,1
640,1,2
641,1,1
642,2,1
644,1,1
646,2,1
647,1,
648,1,
649,2,1
650,1,1
651,2,1
652,1,1
654,1,1
655,1,1
657,2,1
658,2,1
659,1,1
660,2,1
661,1,
663,1,
664,1,1
665,2,1
666,1,1
667,2,
668,1,1
670,1,1
671,1,1
672,1,1
673,1,1
674,1,1
675,1,1
676,1,1
678,2,1
679,1,1
680,2,2
681,2,1
682,1,2
686,1,1
687,2,1
688,2,2
691,1,1
692,1,1
693,1,1
694,1,1
695,1,1
696,1,1
698,1,
699,1,1
700,1,
701,2,1
702,1,1
703,1,1
704,1,1
705,2,1
706,1,
707,1,1
708,1,
709,1,
710,1,1
711,2,1
712,1,1
713,1,2
714,1,1
742,,1
744,1,1
745,2,1
746,1,1
747,1,1
750,1,1
751,1,
752,1,1
753,1,
754,2,2
755,1,1
757,1,1
758,1,
759,1,1
760,1,
761,1,1
762,1,1
764,1,
765,1,
766,1,1
767,1,1
768,2,1
769,3,1
770,1,2
771,1,1
772,1,1
773,1,1
775,1,
777,1,1
778,1,
781,1,
782,1,
783,1,1
784,,1
786,1,1
787,1,1
788,2,1
789,,1
790,1,1
791,,1
792,1,1
793,1,1
794,2,1
795,2,1
796,1,1
797,1,1
801,2,1
802,2,1
803,1,
804,2,1
805,1,1
806,1,1
807,1,2
808,1,1
809,1,1
810,1,1
811,1,
812,1,2
813,1,1
814,1,1
815,1,1
816,1,1
817,1,1
818,1,1
819,3,1
820,1,1
821,2,2
824,2,2
825,1,1
826,1,1
827,1,
828,1,1
829,1,1
830,1,1
831,1,1
832,1,
834,1,1
837,1,
838,1,1
839,1,
840,1,1
841,1,
842,1,1
843,1,1
844,1,1
845,1,1
846,1,1
847,1,1
849,,1
850,,1
851,1,1
853,1,1
854,1,1
855,1,2
856,1,1
857,2,1
858,2,1
859,1,1
860,1,1
861,1,1
862,2,1
863,2,1
864,,1
865,1,
866,2,1
867,1,1
869,1,1
870,,1
871,2,1
872,1,1
873,1,
874,1,1
875,1,1
876,1,1
877,1,1
878,1,
879,2,1
880,1,1
881,1,1
883,1,1
884,1,1
885,1,1
886,1,2
887,1,1
